Timestamp,Mode,Facing,Posture Status,Head Tilt,Confidence Score
2025-07-12 16:00:27,front,front,Stabilizing... (1.8s),0.010542720556259155,2
2025-07-12 16:00:27,front,front,Stabilizing... (1.8s),0.010810554027557373,0
2025-07-12 16:00:27,front,front,Stabilizing... (1.7s),0.012230783700942993,2
2025-07-12 16:00:27,front,front,Stabilizing... (1.7s),0.012534350156784058,2
2025-07-12 16:00:28,front,front,Stabilizing... (1.6s),0.012628942728042603,2
2025-07-12 16:00:28,front,front,Stabilizing... (1.6s),0.012852996587753296,2
2025-07-12 16:00:28,front,front,Stabilizing... (1.5s),0.012247085571289062,2
2025-07-12 16:00:28,front,front,Stabilizing... (1.5s),0.012221336364746094,2
2025-07-12 16:00:28,front,front,Stabilizing... (1.4s),0.0121859610080719,2
2025-07-12 16:00:28,front,front,Stabilizing... (1.4s),0.01224467158317566,2
2025-07-12 16:00:28,front,front,Stabilizing... (1.3s),0.012259215116500854,2
2025-07-12 16:00:28,front,front,Stabilizing... (1.2s),0.012355417013168335,2
2025-07-12 16:00:28,front,front,Stabilizing... (1.2s),0.01222163438796997,2
2025-07-12 16:00:28,front,front,Stabilizing... (1.1s),0.012280941009521484,0
2025-07-12 16:00:28,front,front,Stabilizing... (1.0s),0.012248307466506958,2
2025-07-12 16:00:28,front,front,Stabilizing... (1.0s),0.01216307282447815,2
2025-07-12 16:00:28,front,front,Stabilizing... (1.0s),0.012076050043106079,2
2025-07-12 16:00:28,front,front,Stabilizing... (0.9s),0.01197350025177002,2
2025-07-12 16:00:28,front,front,Stabilizing... (0.8s),0.011302739381790161,2
2025-07-12 16:00:28,front,front,Stabilizing... (0.8s),0.010767608880996704,2
2025-07-12 16:00:28,front,front,Stabilizing... (0.7s),0.010392308235168457,2
2025-07-12 16:00:28,front,front,Stabilizing... (0.7s),0.010440796613693237,0
2025-07-12 16:00:29,front,front,Stabilizing... (0.6s),0.010514944791793823,0
2025-07-12 16:00:29,front,front,Stabilizing... (0.6s),0.010505259037017822,0
2025-07-12 16:00:29,front,front,Stabilizing... (0.6s),0.010474622249603271,0
2025-07-12 16:00:29,front,front,Stabilizing... (0.5s),0.010438263416290283,0
2025-07-12 16:00:29,front,front,Stabilizing... (0.4s),0.010316848754882812,0
2025-07-12 16:00:29,front,front,Stabilizing... (0.4s),0.0102003812789917,0
2025-07-12 16:00:29,front,front,Stabilizing... (0.3s),0.010152578353881836,1
2025-07-12 16:00:29,front,front,Stabilizing... (0.3s),0.010269194841384888,0
2025-07-12 16:00:29,front,front,Stabilizing... (0.2s),0.010304898023605347,0
2025-07-12 16:00:29,front,front,Stabilizing... (0.2s),0.01045989990234375,0
2025-07-12 16:00:29,front,front,Stabilizing... (0.2s),0.010746777057647705,0
2025-07-12 16:00:29,front,front,Stabilizing... (0.1s),0.010937303304672241,0
2025-07-12 16:00:29,front,front,Stabilizing... (0.1s),0.010943770408630371,0
2025-07-12 16:00:29,front,front,Stabilizing... (0.1s),0.011013567447662354,0
2025-07-12 16:00:29,front,front,Good Posture,0.011073112487792969,0
2025-07-12 16:00:29,front,front,Good Posture,0.011131435632705688,0
2025-07-12 16:00:29,front,front,Good Posture,0.011164933443069458,0
2025-07-12 16:00:29,front,front,Good Posture,0.011181890964508057,0
2025-07-12 16:00:29,front,front,Good Posture,0.011246293783187866,0
2025-07-12 16:00:29,front,front,Good Posture,0.011236846446990967,0
2025-07-12 16:00:29,front,front,Good Posture,0.011254549026489258,0
2025-07-12 16:00:29,front,front,Good Posture,0.011248469352722168,0
2025-07-12 16:00:29,front,front,Good Posture,0.01120370626449585,0
2025-07-12 16:00:30,front,front,Good Posture,0.011291146278381348,0
2025-07-12 16:00:30,front,front,Good Posture,0.011170387268066406,0
2025-07-12 16:00:30,front,front,Good Posture,0.011115044355392456,0
2025-07-12 16:00:30,front,front,Good Posture,0.01111459732055664,0
2025-07-12 16:00:30,front,front,Good Posture,0.011131256818771362,0
2025-07-12 16:00:30,front,front,Good Posture,0.011154323816299438,0
2025-07-12 16:00:30,front,front,Good Posture,0.013614863157272339,0
2025-07-12 16:00:30,front,front,Good Posture,0.013690263032913208,0
2025-07-12 16:00:30,front,front,Good Posture,0.013301193714141846,0
2025-07-12 16:00:30,front,front,Good Posture,0.013037323951721191,2
2025-07-12 16:00:30,front,front,Good Posture,0.012684881687164307,2
2025-07-12 16:00:30,front,front,Good Posture,0.011849969625473022,0
2025-07-12 16:00:30,front,front,Good Posture,0.01168552041053772,0
2025-07-12 16:00:30,front,front,Good Posture,0.01098775863647461,0
2025-07-12 16:00:30,front,front,Good Posture,0.010804921388626099,0
2025-07-12 16:00:30,front,front,Good Posture,0.010838091373443604,0
2025-07-12 16:00:30,front,front,Good Posture,0.010832428932189941,0
2025-07-12 16:00:30,front,front,Good Posture,0.01085171103477478,0
2025-07-12 16:00:31,front,front,Good Posture,0.010956019163131714,0
2025-07-12 16:00:31,front,front,Good Posture,0.011044442653656006,0
2025-07-12 16:00:31,front,front,Good Posture,0.011051297187805176,0
2025-07-12 16:00:31,front,front,Good Posture,0.011072039604187012,0
2025-07-12 16:00:31,front,front,Good Posture,0.011089950799942017,0
2025-07-12 16:00:31,front,front,Good Posture,0.011064738035202026,0
2025-07-12 16:00:31,front,front,Good Posture,0.011134922504425049,0
2025-07-12 16:00:31,front,front,Good Posture,0.011199504137039185,0
2025-07-12 16:00:31,front,front,Good Posture,0.011200428009033203,0
2025-07-12 16:00:31,front,front,Good Posture,0.011086136102676392,0
2025-07-12 16:00:31,front,front,Good Posture,0.011203646659851074,2
2025-07-12 16:00:31,front,front,Good Posture,0.011270642280578613,0
2025-07-12 16:00:31,front,front,Good Posture,0.01092478632926941,0
2025-07-12 16:00:31,front,front,Good Posture,0.011091083288192749,0
2025-07-12 16:00:31,front,front,Good Posture,0.010908156633377075,0
2025-07-12 16:00:31,front,front,Good Posture,0.010888069868087769,2
2025-07-12 16:00:31,front,front,Good Posture,0.011030524969100952,2
2025-07-12 16:00:31,front,front,Good Posture,0.01104000210762024,2
2025-07-12 16:00:31,front,front,Good Posture,0.01110374927520752,0
2025-07-12 16:00:31,front,front,Good Posture,0.011124581098556519,0
2025-07-12 16:00:31,front,front,Good Posture,0.011101752519607544,0
2025-07-12 16:00:32,front,front,Good Posture,0.011056959629058838,0
2025-07-12 16:00:32,front,front,Good Posture,0.011057913303375244,0
2025-07-12 16:00:32,front,front,Good Posture,0.010873287916183472,0
2025-07-12 16:00:32,front,front,Good Posture,0.010901391506195068,2
2025-07-12 16:00:32,front,front,Good Posture,0.010955274105072021,2
2025-07-12 16:00:32,front,front,Good Posture,0.010843932628631592,0
2025-07-12 16:00:32,front,front,Good Posture,0.010689347982406616,2
2025-07-12 16:00:32,front,front,Good Posture,0.010707169771194458,2
2025-07-12 16:00:32,front,front,Good Posture,0.010684460401535034,2
2025-07-12 16:00:32,front,front,Good Posture,0.01060369610786438,2
2025-07-12 16:00:32,front,front,Good Posture,0.010558545589447021,2
2025-07-12 16:00:32,front,front,Good Posture,0.010513782501220703,2
2025-07-12 16:00:32,front,front,Good Posture,0.010012984275817871,2
2025-07-12 16:00:32,front,front,Good Posture,0.010019898414611816,2
2025-07-12 16:00:32,front,front,Good Posture,0.010057657957077026,2
2025-07-12 16:00:32,front,front,Good Posture,0.010100752115249634,2
2025-07-12 16:00:32,front,front,Good Posture,0.010109305381774902,2
2025-07-12 16:00:32,front,front,Good Posture,0.010175257921218872,2
2025-07-12 16:00:32,front,front,Good Posture,0.010219037532806396,2
2025-07-12 16:00:33,front,front,Good Posture,0.010259032249450684,0
2025-07-12 16:00:33,front,front,Good Posture,0.010213285684585571,0
2025-07-12 16:00:33,front,front,Good Posture,0.010224670171737671,2
2025-07-12 16:00:33,front,front,Good Posture,0.010155081748962402,2
2025-07-12 16:00:33,front,front,Good Posture,0.010163426399230957,2
2025-07-12 16:00:33,front,front,Good Posture,0.01017904281616211,0
2025-07-12 16:00:33,front,front,Good Posture,0.010182052850723267,2
2025-07-12 16:00:33,front,front,Good Posture,0.010245084762573242,2
2025-07-12 16:00:33,front,front,Good Posture,0.010243386030197144,2
2025-07-12 16:00:33,front,front,Good Posture,0.010285735130310059,0
2025-07-12 16:00:33,front,front,Good Posture,0.010251998901367188,0
2025-07-12 16:00:33,front,front,Good Posture,0.010290145874023438,0
2025-07-12 16:00:33,front,front,Good Posture,0.010310769081115723,0
2025-07-12 16:00:33,front,front,Good Posture,0.010398179292678833,2
2025-07-12 16:00:33,front,front,Good Posture,0.01040390133857727,2
2025-07-12 16:00:33,front,front,Good Posture,0.010362833738327026,2
2025-07-12 16:00:33,front,front,Good Posture,0.010803818702697754,2
2025-07-12 16:00:33,front,front,Good Posture,0.011165201663970947,2
2025-07-12 16:00:33,front,front,Good Posture,0.011355757713317871,0
2025-07-12 16:00:33,front,front,Good Posture,0.01143154501914978,0
2025-07-12 16:00:34,front,front,Good Posture,0.01145055890083313,2
2025-07-12 16:00:34,front,front,Good Posture,0.011365443468093872,2
2025-07-12 16:00:34,front,front,Good Posture,0.011020630598068237,2
2025-07-12 16:00:34,front,front,Good Posture,0.010806351900100708,0
2025-07-12 16:00:34,front,front,Good Posture,0.010649830102920532,2
2025-07-12 16:00:34,front,front,Good Posture,0.010548323392868042,0
2025-07-12 16:00:34,front,front,Good Posture,0.010501295328140259,0
2025-07-12 16:00:34,front,front,Good Posture,0.01045149564743042,0
2025-07-12 16:00:34,front,front,Good Posture,0.010327398777008057,0
2025-07-12 16:00:34,front,front,Good Posture,0.010311692953109741,0
2025-07-12 16:00:34,front,front,Good Posture,0.010267704725265503,2
2025-07-12 16:00:34,front,front,Good Posture,0.010195374488830566,2
2025-07-12 16:00:34,front,front,Good Posture,0.010147511959075928,0
2025-07-12 16:00:34,front,front,Good Posture,0.010102570056915283,0
2025-07-12 16:00:34,front,front,Good Posture,0.00840047001838684,0
2025-07-12 16:00:34,front,front,Good Posture,0.010051369667053223,2
2025-07-12 16:00:34,front,front,Good Posture,0.009240180253982544,2
2025-07-12 16:00:34,front,front,Good Posture,0.008701533079147339,2
2025-07-12 16:00:34,front,front,Good Posture,0.009219855070114136,2
2025-07-12 16:00:34,front,front,Good Posture,0.009711682796478271,2
2025-07-12 16:00:34,front,front,Good Posture,0.009766191244125366,2
2025-07-12 16:00:34,front,front,Good Posture,0.009286880493164062,2
2025-07-12 16:00:34,front,front,Good Posture,0.010537028312683105,2
2025-07-12 16:00:35,front,front,Good Posture,0.011059403419494629,2
2025-07-12 16:00:35,front,front,Good Posture,0.010518074035644531,2
2025-07-12 16:00:35,front,front,Good Posture,0.010362178087234497,2
2025-07-12 16:00:35,front,front,Good Posture,0.00920829176902771,4
2025-07-12 16:00:35,front,front,Good Posture,0.008147388696670532,4
2025-07-12 16:00:35,front,front,Good Posture,0.00807240605354309,4
2025-07-12 16:00:35,front,front,Good Posture,0.007425904273986816,4
2025-07-12 16:00:35,front,front,Good Posture,0.008613795042037964,4
2025-07-12 16:00:35,front,front,Good Posture,0.00836646556854248,5
2025-07-12 16:00:35,front,front,Good Posture,0.008419692516326904,5
2025-07-12 16:00:35,front,front,Good Posture,0.00903773307800293,5
2025-07-12 16:00:35,front,front,Good Posture,0.007965773344039917,5
2025-07-12 16:00:35,front,front,Good Posture,0.008717566728591919,4
2025-07-12 16:00:35,front,front,Detecting bad... (2.0s),0.007386654615402222,5
